Year,Month Abbrev,Month,Date,labor force,employment,unemployment,unemployment rate
2010,Jan,1,Jan-20,6629263,5879062,750201,11.3
2010,Feb,2,Feb-20,6646430,5898678,747752,11.3
2010,Mar,3,Mar-20,6655359,5917703,737656,11.1
2010,Apr,4,Apr-20,6654739,5932888,721851,10.8
2010,May,5,May-20,6645625,5943454,702171,10.6
2010,Jun,6,Jun-20,6631747,5948816,682931,10.3
2010,Jul,7,Jul-20,6618603,5950375,668228,10.1
2010,Aug,8,Aug-20,6609418,5950971,658447,10
2010,Sep,9,Sep-20,6603128,5951512,651616,9.9
2010,Oct,10,Oct-20,6598069,5952925,645144,9.8
2010,Nov,11,Nov-20,6591482,5954456,637026,9.7
2010,Dec,12,Dec-20,6582389,5954441,627948,9.5
2011,Jan,1,Jan-20,6573539,5952822,620717,9.4
2011,Feb,2,Feb-20,6566762,5949580,617182,9.4
2011,Mar,3,Mar-20,6562927,5944798,618129,9.4
2011,Apr,4,Apr-20,6563289,5938760,624529,9.5
2011,May,5,May-20,6569329,5933281,636048,9.7
2011,Jun,6,Jun-20,6579893,5930717,649176,9.9
2011,Jul,7,Jul-20,6592480,5932875,659605,10
2011,Aug,8,Aug-20,6603943,5939511,664432,10.1
2011,Sep,9,Sep-20,6610989,5949295,661694,10
2011,Oct,10,Oct-20,6611838,5960203,651635,9.9
2011,Nov,11,Nov-20,6605805,5969807,635998,9.6
2011,Dec,12,Dec-20,6594308,5976406,617902,9.4
2012,Jan,1,Jan-20,6581090,5979812,601278,9.1
2012,Feb,2,Feb-20,6571177,5981308,589869,9
2012,Mar,3,Mar-20,6567040,5981313,585727,8.9
2012,Apr,4,Apr-20,6567372,5980357,587015,8.9
2012,May,5,May-20,6571517,5980993,590524,9
2012,Jun,6,Jun-20,6577714,5984744,592970,9
2012,Jul,7,Jul-20,6584040,5991553,592487,9
2012,Aug,8,Aug-20,6590143,5999586,590557,9
2012,Sep,9,Sep-20,6596052,6006010,590042,8.9
2012,Oct,10,Oct-20,6599251,6007289,591962,9
2012,Nov,11,Nov-20,6597998,6001762,596236,9
2012,Dec,12,Dec-20,6592027,5990669,601358,9.1
2013,Jan,1,Jan-20,6582499,5976602,605897,9.2
2013,Feb,2,Feb-20,6571939,5963501,608438,9.3
2013,Mar,3,Mar-20,6563015,5955200,607815,9.3
2013,Apr,4,Apr-20,6558406,5953676,604730,9.2
2013,May,5,May-20,6556908,5955695,601213,9.2
2013,Jun,6,Jun-20,6556074,5957303,598771,9.1
2013,Jul,7,Jul-20,6553792,5956577,597215,9.1
2013,Aug,8,Aug-20,6547571,5954206,593365,9.1
2013,Sep,9,Sep-20,6538493,5952790,585703,9
2013,Oct,10,Oct-20,6531285,5955019,576266,8.8
2013,Nov,11,Nov-20,6529007,5962789,566218,8.7
2013,Dec,12,Dec-20,6530529,5975241,555288,8.5
2014,Jan,1,Jan-20,6535431,5993052,542379,8.3
2014,Feb,2,Feb-20,6534756,6007828,526928,8.1
2014,Mar,3,Mar-20,6530889,6020562,510327,7.8
2014,Apr,4,Apr-20,6523322,6029722,493600,7.6
2014,May,5,May-20,6514281,6037402,476879,7.3
2014,Jun,6,Jun-20,6507901,6046821,461080,7.1
2014,Jul,7,Jul-20,6505054,6057874,447180,6.9
2014,Aug,8,Aug-20,6505576,6069687,435889,6.7
2014,Sep,9,Sep-20,6507158,6080707,426451,6.6
2014,Oct,10,Oct-20,6505589,6088861,416728,6.4
2014,Nov,11,Nov-20,6498925,6092601,406324,6.3
2014,Dec,12,Dec-20,6490580,6093224,397356,6.1
2015,Jan,1,Jan-20,6484662,6093246,391416,6
2015,Feb,2,Feb-20,6483581,6094509,389072,6
2015,Mar,3,Mar-20,6488118,6099201,388917,6
2015,Apr,4,Apr-20,6496586,6107420,389166,6
2015,May,5,May-20,6505014,6116735,388279,6
2015,Jun,6,Jun-20,6510176,6124274,385902,5.9
2015,Jul,7,Jul-20,6512572,6129381,383191,5.9
2015,Aug,8,Aug-20,6514357,6132720,381637,5.9
2015,Sep,9,Sep-20,6517961,6136253,381708,5.9
2015,Oct,10,Oct-20,6527007,6142815,384192,5.9
2015,Nov,11,Nov-20,6542567,6153011,389556,6
2015,Dec,12,Dec-20,6560650,6164643,396007,6
2016,Jan,1,Jan-20,6575942,6174870,401072,6.1
2016,Feb,2,Feb-20,6584675,6181506,403169,6.1
2016,Mar,3,Mar-20,6584981,6183784,401197,6.1
2016,Apr,4,Apr-20,6578443,6182220,396223,6
2016,May,5,May-20,6568617,6178413,390204,5.9
2016,Jun,6,Jun-20,6557693,6173697,383996,5.9
2016,Jul,7,Jul-20,6546886,6169197,377689,5.8
2016,Aug,8,Aug-20,6537453,6165079,372374,5.7
2016,Sep,9,Sep-20,6529644,6160954,368690,5.6
2016,Oct,10,Oct-20,6521762,6156861,364901,5.6
2016,Nov,11,Nov-20,6513018,6154199,358819,5.5
2016,Dec,12,Dec-20,6504165,6153752,350413,5.4
2017,Jan,1,Jan-20,6496171,6155063,341108,5.3
2017,Feb,2,Feb-20,6489220,6157282,331938,5.1
2017,Mar,3,Mar-20,6483668,6158835,324833,5
2017,Apr,4,Apr-20,6480980,6160237,320743,4.9
2017,May,5,May-20,6481598,6162523,319075,4.9
2017,Jun,6,Jun-20,6485000,6165712,319288,4.9
2017,Jul,7,Jul-20,6490425,6170132,320293,4.9
2017,Aug,8,Aug-20,6494753,6175116,319637,4.9
2017,Sep,9,Sep-20,6496089,6180034,316055,4.9
2017,Oct,10,Oct-20,6494700,6184498,310202,4.8
2017,Nov,11,Nov-20,6490768,6187693,303075,4.7
2017,Dec,12,Dec-20,6485128,6189907,295221,4.6
2018,Jan,1,Jan-20,6479722,6191558,288164,4.4
2018,Feb,2,Feb-20,6476515,6193064,283451,4.4
2018,Mar,3,Mar-20,6474857,6194006,280851,4.3
2018,Apr,4,Apr-20,6471806,6192733,279073,4.3
2018,May,5,May-20,6466954,6189319,277635,4.3
2018,Jun,6,Jun-20,6462132,6186157,275975,4.3
2018,Jul,7,Jul-20,6459489,6185121,274368,4.2
2018,Aug,8,Aug-20,6459534,6186013,273521,4.2
2018,Sep,9,Sep-20,6463131,6189533,273598,4.2
2018,Oct,10,Oct-20,6467597,6192946,274651,4.2
2018,Nov,11,Nov-20,6469866,6193935,275931,4.3
2018,Dec,12,Dec-20,6470478,6194004,276474,4.3
2019,Jan,1,Jan-20,6475701,6195227,280474,4.3
2019,Feb,2,Feb-20,6477805,6196506,281299,4.3
2019,Mar,3,Mar-20,6479770,6195375,284395,4.4
2019,Apr,4,Apr-20,6486029,6199363,286666,4.4
2019,May,5,May-20,6487731,6202615,285116,4.4
2019,Jun,6,Jun-20,6490937,6213516,277421,4.3
2019,Jul,7,Jul-20,6496450,6223874,272576,4.2
2019,Aug,8,Aug-20,6504503,6242039,262464,4
2019,Sep,9,Sep-20,6506151,6250224,255927,3.9
2019,Oct,10,Oct-20,6505066,6254107,250959,3.9
2019,Nov,11,Nov-20,6496435,6250412,246023,3.8
2019,Dec,12,Dec-20,6479970(P),6239909(P),240061(P),3.7(P
